name,symbol,category,chains,tvl,change_1h,change_1d,change_7d,mcap,url,description
Corex Markets,-,Derivatives,CORE,1963.863946168312,0.6104879859485379,-4.636967101556067,-15.186489080674662,,https://corex.markets/,"Corex Markets is the flagship Perpetual trading platform on Core, the largest Bitcoin-aligned Layer-1 blockchain. Advanced perpetual futures trading with up to 100% leverage, multi-collateral support, and institutional-grade risk management. Trade perpetual BTC, ETH, CORE and other top cryptocurrencies."
Injera,-,CDP,Injective,1951.2585017687074,,,,,https://x.com/InjeraOfficial,"INJERA brings deep liquidity to the cosmos ecosystem. Earn stable and transparent yields on our stablecoin, $USDi. Accumulate gems to rise up the airdrop leaderboard."
Valoro,-,Indexes,Elrond,1947.1720672103754,3.2263044733430633,-8.369948209944255,-22.674751519628188,,https://valoro.fund,Valoro is a fund management and investment protocol on MultiversX
iSwap Tech,-,Dexs,Bitlayer,1938.3767515766922,0.6516739008238517,-6.69640591427013,-11.983803373537256,,https://iswap.tech,"iSwap is a liquidity solution compatible with BTC Layer2 & EVM Layer2 led by Web3 top investors. iSwap provides liquidity creation strategies and high-quality liquidities for multi-ecosystems including Bitlayer, TON, Linea, Solana, and other Web3 markets."
DeltaTheta,DLTA,Options,"Binance, Polygon",1924.943366176489,0.05407878093386387,-7.742382402161212,-11.254047788858557,,https://deltatheta.tech,Delta.theta is a peer-to-peer asset options trading decentralized exchange
Alien Base StableSwap,ALB,Dexs,Base,1912.5497080387472,-0.012196818910368279,-0.015636984756355332,-0.01090342213574047,,https://alienbase.xyz,"Alien Base is building the Base trading hub for efficiently trading tokens and memecoins onchain. Offering aggregated liquidity, limit orders, yield farming and more, Alien technology helps you use Base to the fullest."
Lending Pond,-,Lending,Cardano,1908.6391819349415,3.0882803832942756,-8.315662690559321,-17.650941647897227,,https://lendingpond.app,Provide or Receive ADA through Cardano's premier P2P lending marketplace.
TON Pump,-,Telegram Bot,TON,1902.0951296730302,0.8193654859595512,-7.516461130531766,-12.543398560800057,,https://hot-labs.org,"A revolutionary memcoin launchpad platform on the TON blockchain. Works inside Telegram Mini App and HOT Wallet. Create your own token, trade tokens on the curve, won contest for the best token launch."
RabbitX,RBX,Derivatives,"Ethereum, Blast, Base, Arbitrum, Sonic",1900.1501877885066,0.024614588553234285,0.04345897641012186,0.041352531342170096,,https://app.rabbitx.io/,"RabbitX is a cross-market perpetual futures exchange that runs on a high-speed decentralized infrastructure, offering up to 50x leverage on over 100 assets—including crypto, stocks, and commodities—with zero fees and near-instant execution"
Henjin DEX,-,Dexs,"Taiko, Base",1899.985659201838,-0.4755504514330653,-9.975723255701453,-15.24322068804328,,https://henjin.xyz/,An innovative and highly flexible v4 DEX built to support the Taiko ecosystem. Community driven plugins (hooks) and capital efficient automatic liquidity management (ALM).
MantaSwap,MTS,Dexs,Manta,1899.0139779326998,,,,0.0,https://mantaswap.io/#/swap,"Manta Swap is the first DEX on the Manta network, offering low fees, speed, and user-friendly features."
Citrex Markets,-,Derivatives,Sei,1889.451715780832,-0.19658662071509525,-0.13327124504318988,-0.11225253682142977,,https://app.citrex.markets/,"Citrex is a decentralised exchange offering low fee and fast CEX-like perpetual and spot trading from a self-custodial cross-margin account built on the Sei blockchain.Trade perps on your favourite assets like SEI, BTC, ETH, XRP or DOGE, with low fees."
Phenix DEX,PHNX,Dexs,"Cronos, Polygon",1881.5065763701825,3.410333837216868,-4.32392303926909,-12.9453631323629,,,"The Phenix Finance project is an initiative led by a team of committed, experienced, and community-driven people that has a high focus on delivering easy methods of rewards and DeFi services to project and business owners in the crypto-space."
Hotfriescoin,HFC,Reserve Currency,Binance,1871.2064017912255,0.26648579181150467,-0.11220502078961658,0.0835848470297691,,,A new Asset Class called Stable Progressive Coin. We aim to be the World's Most Powerful Reserve and Store of Value Currency.
BaseX Finance,-,Dexs,Base,1857.06694305477,0.9965337789473665,-7.560158664159957,-13.591828951586777,,https://www.basex.fi,"Your gateway to seamless DeFi experiences with low-cost, low-slippage swaps powered by Coinbase's Base Chain, UniSwap V3 CLMM and ve(3,3) model"
HiveSwap V2,-,Dexs,Map,1855.5295478557248,-0.29328081238338655,-2.6091648127515583,-3.9871826569535216,, https://www.hiveswap.io/,"Hiveswap is the No.1 swap in the Bitcoin ecosystem, providing liquidity services for assets in the Bitcoin ecosystem"
Memeta,-,Launchpad,Manta,1842.6512591853234,3.616317306563303,-9.25658272238266,-16.88195326648578,,https://www.memeta.fun/,"Memeta is a meme coin launchpad on the Manta Network where creators set custom bonding curves to determine each coin’s market value, allowing dynamic liquidity and trading on DEXs to drive user engagement and transaction growth in a decentralized ecosystem."
ZyberSwap Stableswap,ZYB,Dexs,Arbitrum,1839.2378336740785,0.2555483783859671,0.01429033921176881,0.05928642942897966,,https://app.zyberswap.io/exchange/swap,Community Driven Exchange on Arbitrum.
POISON FINANCE,POI$ON,Synthetics,"Arbitrum, Binance",1837.972346387109,0.1343349152252955,0.13698397422754738,0.12505279702908467,12498.497823757776,https://poison.finance/,"Poison Protocol is a Magic Wand that lets you create Multi Chain Synthetic Potions that track the price of real-world assets. Synthetic Potions are intended to be used as fundamental building blocks in smart contracts, be it a dex or a game, and to bring the world's assets to the blockchain. Serving Stocks, Commodities, and ETFs on Arbitrum, BSC, and ETH 24/7"
Sonic Market Liquidity Vault,-,Dexs,Sonic,1815.7043969631202,4.058690776242926,-14.589461754421137,-24.959170713052245,,https://www.sonic.market/trade,"Sonic Market is a decentralized exchange (DEX) built on the Sonic blockchain, designed to bring a fully on-chain Central Limit Order Book (CLOB) experience. Unlike traditional Automated Market Makers (AMMs), Sonic Market leverages its advanced order book technology, LOBSTER (Limit Order Book with Segment Tree for Efficient oRder-matching), to provide fast, gas-efficient order matching directly on the Sonic blockchain."
sCANTO,-,Liquid Staking,Canto,1811.2987950613417,-2.5303180973956643,-11.985663184580915,-15.288407789539903,,,sCANTO is a Liquid Staking Derivative(LSD). By holding sCANTO you are earning a prorata share the validator rewards
Marginal,-,Leveraged Farming,"Ethereum, Base",1809.4771620918557,4.414222763483224,-10.496330266791645,-21.935097943974156,,https://app.marginal.network,Permissionless Markets - With Leverage
Z Protocol DEX,ZP,Dexs,Scroll,1803.5882788562187,0.7225164306313019,-6.656932324607027,-12.134378163568343,,https://app.zprotocol.xyz,"Z Protocol is a cutting-edge DeFi platform on the Scroll network, featuring a DEX, yield farming, NFT staking, liquidity pools, and a vault system. Our goal is to create a stable ecosystem where users can easily participate in DeFi activities, fostering growth and innovation within our community."
MonoSwap V2,-,Dexs,Blast,1803.1207631987088,0.6760900772025025,-8.874909249045388,-15.8434363045332,,,Uniswap V2 fork on Blast
Kimochi,KIMOCHI,Services,Binance,1800.5735365728372,0.7936703457187093,-2.5424915875175316,-5.81315884212367,,,Kimochi Finance is a platform fully integrated with DeFi applications on Binance Smart Chain.
Synthetix v1+v2,SNX,Synthetics,"Optimism, Ethereum",1789.2176490690797,,,,,https://synthetix.io,Synthetix is a derivatives liquidity protocol providing the backbone for derivatives trading in DeFi.
OptiNyan,NYAN,Yield,Optimism,1786.5633917164155,1.5490963712958035,-9.647892048278166,-17.12051031587343,,,Fair launch token on Optimism. Not related to any other token. Not related to ZipSwap.
WhaleSwap,POD,Dexs,"Binance, Avalanche, Polygon, Arbitrum, Optimism, Fantom, Kava",1786.1234125442081,1.230977773612409,-4.734765028815417,-8.518809158164288,,,A next-generation DEX on BNB Chain to maximize capital efficiency with the innovative Discretized-Liquidity-AMM model
ClaySwap,CLAY,Farm,Binance,1784.6433838984783,2.5001755357553463,-8.09973027194036,-13.017433080237637,,,Yield farm on BSC
Yumiswap,YUMI,Dexs,Astar,1781.3236625356765,,,,,,"YumiSwap is a crypto world for users to trade, earn, and game. It is the premier choice for projects on Astar with features including AMM, NFT, and GameFi."
EazySwap,EAZY,Dexs,Pulse,1761.5035020143837,3.3088557846653117,-4.859854593301634,-15.010972589990743,,https://www.eazyswap.io/,Native DEX on Pulsechain
Archimedes Finance,ARCH,Leveraged Farming,Ethereum,1739.6138217337116,0.0008694814050755895,0.00304352637876093,0.0059627678292031305,225328.05304319752,https://archimedesfi.com/,Archimedes is a lending and borrowing marketplace offering up to 10x leverage on yield-bearing stablecoins and sustainable top of market APY for both lenders and borrowers
Dough Finance,-,Lending,Ethereum,1738.8795992498685,0.7284877370858709,-4.571117321951945,-8.695185842806197,,,"Dough Finance is an open-source protocol that enables non-custodial liquidity markets, allowing users to earn interest by supplying and borrowing assets"
forlend,FLD,Lending,Findora,1737.0762834925308,0.013846019074208016,0.030619669309402298,0.03120588500000565,,https://forlend.io,"A better way to borrow assets, earn interest, and build lending apps. With privacy. "
ABEx Finance,ALP,Derivatives,Sui,1734.3532261928956,4.7789604927368,-9.37183929392927,-21.95657331786606,,https://abex.fi/app/trade,"ABEx is a pioneering on-chain derivatives & swap protocol. It provides zero price impact and high-leverage trading services, utilizes a synthetic architecture to improve capital efficiency, and introduces dynamic funding rate to protect LPs’ interest."
TrustSwap,SWAP,Token Locker,Ethereum,1721.175861744409,-0.0021578340449224243,-0.024834003556804873,-0.053220266679915085,,https://trustswap.com/,"TrustSwap is building foundational layers in the rapidly-emerging decentralized finance landscape with services like SmartLocks, Mint, Launchpad, Swappable (NFT interface), Farming as a Service, and Vesting as a Service"
Oni Exchange,ONI,Dexs,Binance,1715.5777965953794,1.261361205665935,-6.6726300058780055,-9.53548166126285,0.0,https://oni.exchange,"ONI.exchange is an intelligent decentralized exchange running on Binance Smart Chain, with AMM, NFTs, and Yield Farming."
Voodoo Trade Base,VMX,Derivatives,Base,1714.3208534564355,1.9010346456930023,-9.623279759770725,-17.403882661358082,,https://voodoo.trade,"Voodoo Trade is the ultimate ETH-focused perpetual DEX on Base Network. Voodoo caters solely to the ETH/USDC pair, offering the deepest liquidity and most competitive margin fees available, on par with CEX rates. LPs can earn real yield from both margin trades and swaps on Base's most highly traded pair, with no need to hold any tokens besides ETH and stables. Voodoo is a fair launch platform with support from an array of Base Ecosystem stakeholders, and implements a long-term oriented tokenomics system that is the first of its kind for perpetual DEXs."
